datetime;val1;value
2024-01-01T00:00:00+01:00;63,330;63.33
2024-01-01T01:00:00+01:00;50,090;50.09
2024-01-01T02:00:00+01:00;47,500;47.5
2024-01-01T03:00:00+01:00;43,500;43.5
2024-01-01T04:00:00+01:00;42,500;42.5
2024-01-01T05:00:00+01:00;42,090;42.09
2024-01-01T06:00:00+01:00;42,500;42.5
2024-01-01T07:00:00+01:00;42,590;42.59
2024-01-01T08:00:00+01:00;43,370;43.37
2024-01-01T09:00:00+01:00;42,290;42.29
2024-01-01T10:00:00+01:00;25,000;25
2024-01-01T11:00:00+01:00;3,900;3.9
2024-01-01T12:00:00+01:00;3,200;3.2
2024-01-01T13:00:00+01:00;2,060;2.06
2024-01-01T14:00:00+01:00;1,730;1.73
2024-01-01T15:00:00+01:00;5,720;5.72
2024-01-01T16:00:00+01:00;18,490;18.49
2024-01-01T17:00:00+01:00;37,000;37
2024-01-01T18:00:00+01:00;47,500;47.5
2024-01-01T19:00:00+01:00;54,970;54.97
2024-01-01T20:00:00+01:00;60,900;60.9
2024-01-01T21:00:00+01:00;60,000;60
2024-01-01T22:00:00+01:00;47,500;47.5
2024-01-01T23:00:00+01:00;42,090;42.09
2024-01-02T00:00:00+01:00;37,800;37.8
2024-01-02T01:00:00+01:00;25,000;25
2024-01-02T02:00:00+01:00;3,990;3.99
2024-01-02T03:00:00+01:00;14,000;14
2024-01-02T04:00:00+01:00;10,000;10
2024-01-02T05:00:00+01:00;14,540;14.54
2024-01-02T06:00:00+01:00;36,290;36.29
2024-01-02T07:00:00+01:00;44,700;44.7
2024-01-02T08:00:00+01:00;53,780;53.78
2024-01-02T09:00:00+01:00;54,230;54.23
2024-01-02T10:00:00+01:00;50,000;50
2024-01-02T11:00:00+01:00;52,200;52.2
2024-01-02T12:00:00+01:00;45,000;45
2024-01-02T13:00:00+01:00;43,000;43
2024-01-02T14:00:00+01:00;43,000;43
2024-01-02T15:00:00+01:00;40,990;40.99
2024-01-02T16:00:00+01:00;43,660;43.66
2024-01-02T17:00:00+01:00;52,200;52.2
2024-01-02T18:00:00+01:00;57,770;57.77
2024-01-02T19:00:00+01:00;62,450;62.45
2024-01-02T20:00:00+01:00;58,000;58
2024-01-02T21:00:00+01:00;52,830;52.83
2024-01-02T22:00:00+01:00;46,260;46.26
2024-01-02T23:00:00+01:00;40,100;40.1
2024-01-03T00:00:00+01:00;6,800;6.8
2024-01-03T01:00:00+01:00;3,200;3.2
2024-01-03T02:00:00+01:00;3,200;3.2
2024-01-03T03:00:00+01:00;3,200;3.2
2024-01-03T04:00:00+01:00;3,200;3.2
2024-01-03T05:00:00+01:00;2,210;2.21
2024-01-03T06:00:00+01:00;4,780;4.78
2024-01-03T07:00:00+01:00;45,420;45.42
2024-01-03T08:00:00+01:00;61,920;61.92
2024-01-03T09:00:00+01:00;67,000;67
2024-01-03T10:00:00+01:00;63,600;63.6
2024-01-03T11:00:00+01:00;57,100;57.1
2024-01-03T12:00:00+01:00;55,000;55
2024-01-03T13:00:00+01:00;55,420;55.42
2024-01-03T14:00:00+01:00;61,000;61
2024-01-03T15:00:00+01:00;66,030;66.03
2024-01-03T16:00:00+01:00;67,520;67.52
2024-01-03T17:00:00+01:00;89,570;89.57
2024-01-03T18:00:00+01:00;94,200;94.2
2024-01-03T19:00:00+01:00;104,350;104.35
2024-01-03T20:00:00+01:00;113,260;113.26
2024-01-03T21:00:00+01:00;113,260;113.26
2024-01-03T22:00:00+01:00;94,200;94.2
2024-01-03T23:00:00+01:00;86,580;86.58
2024-01-04T00:00:00+01:00;90,390;90.39
2024-01-04T01:00:00+01:00;87,000;87
2024-01-04T02:00:00+01:00;80,210;80.21
2024-01-04T03:00:00+01:00;70,100;70.1
2024-01-04T04:00:00+01:00;66,860;66.86
2024-01-04T05:00:00+01:00;68,140;68.14
2024-01-04T06:00:00+01:00;86,740;86.74
2024-01-04T07:00:00+01:00;94,510;94.51
2024-01-04T08:00:00+01:00;96,000;96
2024-01-04T09:00:00+01:00;98,130;98.13
2024-01-04T10:00:00+01:00;95,000;95
2024-01-04T11:00:00+01:00;90,350;90.35
2024-01-04T12:00:00+01:00;89,000;89
2024-01-04T13:00:00+01:00;85,960;85.96
2024-01-04T14:00:00+01:00;92,110;92.11
2024-01-04T15:00:00+01:00;98,620;98.62
2024-01-04T16:00:00+01:00;99,500;99.5
2024-01-04T17:00:00+01:00;100,000;100
2024-01-04T18:00:00+01:00;102,570;102.57
2024-01-04T19:00:00+01:00;104,000;104
2024-01-04T20:00:00+01:00;105,180;105.18
2024-01-04T21:00:00+01:00;102,420;102.42
2024-01-04T22:00:00+01:00;99,410;99.41
2024-01-04T23:00:00+01:00;90,390;90.39
2024-01-05T00:00:00+01:00;86,080;86.08
2024-01-05T01:00:00+01:00;80,510;80.51
2024-01-05T02:00:00+01:00;77,010;77.01
2024-01-05T03:00:00+01:00;70,670;70.67
2024-01-05T04:00:00+01:00;61,100;61.1
2024-01-05T05:00:00+01:00;68,260;68.26
2024-01-05T06:00:00+01:00;75,000;75
2024-01-05T07:00:00+01:00;86,390;86.39
2024-01-05T08:00:00+01:00;90,880;90.88
2024-01-05T09:00:00+01:00;90,000;90
2024-01-05T10:00:00+01:00;76,470;76.47
2024-01-05T11:00:00+01:00;57,680;57.68
2024-01-05T12:00:00+01:00;45,870;45.87
2024-01-05T13:00:00+01:00;44,070;44.07
2024-01-05T14:00:00+01:00;40,000;40
2024-01-05T15:00:00+01:00;30,550;30.55
2024-01-05T16:00:00+01:00;44,370;44.37
2024-01-05T17:00:00+01:00;67,000;67
2024-01-05T18:00:00+01:00;75,470;75.47
2024-01-05T19:00:00+01:00;78,190;78.19
2024-01-05T20:00:00+01:00;79,940;79.94
2024-01-05T21:00:00+01:00;78,260;78.26
2024-01-05T22:00:00+01:00;75,000;75
2024-01-05T23:00:00+01:00;68,000;68
2024-01-06T00:00:00+01:00;52,500;52.5
2024-01-06T01:00:00+01:00;45,000;45
2024-01-06T02:00:00+01:00;44,200;44.2
2024-01-06T03:00:00+01:00;43,500;43.5
2024-01-06T04:00:00+01:00;23,990;23.99
2024-01-06T05:00:00+01:00;23,990;23.99
2024-01-06T06:00:00+01:00;30,510;30.51
2024-01-06T07:00:00+01:00;44,400;44.4
2024-01-06T08:00:00+01:00;45,800;45.8
2024-01-06T09:00:00+01:00;45,000;45
2024-01-06T10:00:00+01:00;25,000;25
2024-01-06T11:00:00+01:00;4,000;4
2024-01-06T12:00:00+01:00;3,200;3.2
2024-01-06T13:00:00+01:00;3,200;3.2
2024-01-06T14:00:00+01:00;3,200;3.2
2024-01-06T15:00:00+01:00;3,200;3.2
2024-01-06T16:00:00+01:00;25,000;25
2024-01-06T17:00:00+01:00;65,000;65
2024-01-06T18:00:00+01:00;85,960;85.96
2024-01-06T19:00:00+01:00;92,050;92.05
2024-01-06T20:00:00+01:00;92,140;92.14
2024-01-06T21:00:00+01:00;88,000;88
2024-01-06T22:00:00+01:00;86,570;86.57
2024-01-06T23:00:00+01:00;79,870;79.87
2024-01-07T00:00:00+01:00;84,080;84.08
2024-01-07T01:00:00+01:00;79,820;79.82
2024-01-07T02:00:00+01:00;76,760;76.76
2024-01-07T03:00:00+01:00;73,460;73.46
2024-01-07T04:00:00+01:00;71,860;71.86
2024-01-07T05:00:00+01:00;72,080;72.08
2024-01-07T06:00:00+01:00;74,900;74.9
2024-01-07T07:00:00+01:00;77,690;77.69
2024-01-07T08:00:00+01:00;81,790;81.79
2024-01-07T09:00:00+01:00;84,860;84.86
2024-01-07T10:00:00+01:00;61,000;61
2024-01-07T11:00:00+01:00;55,870;55.87
2024-01-07T12:00:00+01:00;50,600;50.6
2024-01-07T13:00:00+01:00;51,770;51.77
2024-01-07T14:00:00+01:00;49,980;49.98
2024-01-07T15:00:00+01:00;45,570;45.57
2024-01-07T16:00:00+01:00;60,000;60
